t,wt,ql,sd
580.0,103.38235294117646,4.6875,4.630075325473404
585.0,105.22388059701493,4.5625,4.481164651547162
590.0,100.3923076923077,4.875,3.4828949756794874
595.0,101.51181102362204,4.8125,3.7166148046507783
600.0,103.86178861788618,4.4375,3.389552298716645
605.0,100.45384615384616,4.5,4.42371726527155
610.0,103.28461538461538,4.5,4.704772191243
615.0,102.85074626865672,4.8125,3.9130466161165676
620.0,105.45112781954887,5.0625,3.4528486690665137
625.0,104.58823529411765,5.0,3.794283003461504
630.0,102.6231884057971,4.625,4.121920329071001
635.0,105.46376811594203,5.125,4.0351031567813225
640.0,108.4927536231884,5.375,3.370346426971818
645.0,108.47887323943662,5.625,3.13648535373911
650.0,106.13986013986013,5.1875,3.177361911591602
655.0,105.10958904109589,4.875,3.7247397880246913
660.0,107.76712328767124,5.1875,3.59988716393866
665.0,109.46206896551725,5.5,3.500446991777705
670.0,109.51006711409396,5.75,3.4300520787372606
675.0,109.74509803921569,5.9375,3.6388153782481747
680.0,109.34838709677419,6.0,3.540945035371299
685.0,112.61184210526316,5.3125,3.8291883285739967
690.0,115.74496644295301,5.0,4.136511079229714
695.0,115.23529411764706,4.9375,4.876950725814969
700.0,114.84713375796179,5.125,4.606972989484546
705.0,117.50955414012739,5.5,4.6018587561802775
710.0,116.78616352201257,5.375,4.5423873351261275
715.0,115.0657894736842,5.0625,4.453041245656412
720.0,114.45098039215686,4.75,4.451713269949807
725.0,111.94736842105263,4.5625,4.686217747771836
730.0,112.87333333333333,4.0,5.301315012755354
735.0,107.16891891891892,4.625,4.699243091602684
740.0,109.34693877551021,4.625,4.35057038089949
745.0,104.48026315789474,5.3125,3.644705348382836
750.0,105.78666666666666,5.75,3.685886851914121
755.0,108.89333333333333,6.0625,2.974648301908684
760.0,109.36842105263158,6.5625,2.3922090934403357
765.0,111.95333333333333,6.6875,2.4462799754237134
770.0,109.48684210526316,6.375,2.7831552380327547
775.0,108.08441558441558,6.3125,3.4230814733685464
780.0,109.96078431372548,5.6875,3.9071777992675494
785.0,110.11464968152866,6.3125,3.1651672075907524
790.0,113.22929936305732,5.9375,3.0411140418166553
795.0,113.4968944099379,6.1875,3.696650297470623
