arch,path,step_time,avg_wait_time,total_stopped,avg_speed,method,pr,category
ppo,1.0,630.0,0.5525,2.875,7.720708841648483,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,635.0,0.6612500000000001,2.875,7.717170147419874,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,640.0,0.43625,2.25,8.240630432536955,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,645.0,0.4,2.25,8.457364836225777,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,650.0,0.435,2.75,8.702243243742934,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,655.0,0.51125,2.625,8.611019821097383,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,660.0,0.4775,2.75,8.45369513410475,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,665.0,0.5825,3.125,8.298747722798876,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,670.0,0.595,3.625,8.184691235514942,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,675.0,0.62125,2.875,7.885231762673573,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,680.0,0.415,1.5,8.118800287094594,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,685.0,0.37375,1.25,8.435215226451072,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,690.0,0.4375,1.625,8.623686656824713,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,695.0,0.45125,2.125,8.826285958879444,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,700.0,0.42,1.5,8.901308743776486,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,705.0,0.4225,2.0,8.555938903565048,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,710.0,0.33,2.625,8.084143080031335,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,715.0,0.3325,1.875,7.319503854163619,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,720.0,0.3625,1.5,6.979622543063836,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,725.0,0.3375,1.5,7.42303870291018,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,730.0,0.2724999999999999,1.5,7.9307900142848755,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,735.0,0.3275,1.875,7.796205849692138,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,740.0,0.385,2.25,7.170631282586908,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,745.0,0.3712499999999999,1.375,7.150686539916634,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,750.0,0.36125,1.0,7.440938966796917,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,755.0,0.27375,1.0,7.578361077507105,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,760.0,0.2975,1.25,7.611037331996691,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,765.0,0.4325,2.375,7.287398578548122,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,770.0,0.42125,2.0,7.532296626862206,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,775.0,0.3525,1.5,7.46466813110934,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,780.0,0.4187499999999999,2.375,7.612141617585801,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,785.0,0.48125,2.5,7.759900296237279,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,790.0,0.51625,1.625,8.012992295467912,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,795.0,0.4024999999999999,1.0,7.731461010151187,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,800.0,0.34,1.375,7.428238290587728,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,805.0,0.21375,1.375,7.1879813524794045,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,810.0,0.18625,1.375,7.442962343137911,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,815.0,0.17875,1.125,7.403419736064202,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,820.0,0.22375,1.625,7.032652090359348,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,825.0,0.27375,2.0,6.80625981993513,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,830.0,0.345,1.625,7.212779470871038,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,835.0,0.455,2.0,7.00600631932501,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,840.0,0.4499999999999999,2.25,6.717225178517416,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,845.0,0.495,2.0,6.929057178825832,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,850.0,0.355,1.75,7.314384206924552,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,855.0,0.3225,1.875,7.421004617979191,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,860.0,0.33,2.0,7.224047906064687,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,865.0,0.3512499999999999,1.875,6.947127486640806,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,870.0,0.43,2.625,6.561870064143524,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,875.0,0.58125,3.0,6.697292974322789,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,880.0,0.43625,2.25,6.5233827558272885,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,885.0,0.30375,1.25,6.79112576797728,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,890.0,0.28,1.125,6.784516562078455,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,895.0,0.3225,0.875,7.131428798774073,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,900.0,0.3112499999999999,1.25,7.5297454675442,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,905.0,0.3675,1.625,8.08649510718931,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,910.0,0.31375,1.625,8.122040855113264,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,915.0,0.3275,1.375,8.069388465031452,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,920.0,0.3662500000000001,1.375,7.761767796124366,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,925.0,0.385,2.25,7.482057982621693,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,930.0,0.44125,2.5,7.10690821282638,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,935.0,0.46875,2.0,7.1216229647282985,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,940.0,0.4337499999999999,0.75,7.282208490654157,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,945.0,0.3924999999999999,0.875,7.347024169979182,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,950.0,0.15,0.5,7.384432658875959,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,955.0,0.165,1.125,7.415364249788347,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,960.0,0.1775,1.75,7.470035730326064,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,965.0,0.20625,1.5,7.159684194906797,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,970.0,0.21,1.375,6.867040044614989,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,975.0,0.1375,0.75,6.90290943700321,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,980.0,0.1425,0.625,7.214007799303577,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,985.0,0.13875,0.875,7.560432757767338,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,990.0,0.14625,1.375,7.810387623402242,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,995.0,0.18625,1.625,7.548780406962594,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1000.0,0.1775,1.25,7.251717285850503,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1005.0,0.1775,0.875,7.17417653932686,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1010.0,0.19,1.5,7.338728830525446,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1015.0,0.245,1.375,7.451644887031825,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1020.0,0.2675,1.125,7.43355860005422,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1025.0,0.32,1.625,7.568491957423521,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1030.0,0.29875,1.25,7.212309827271225,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1035.0,0.345,1.375,7.306623454515336,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1040.0,0.17125,1.5,7.326133462703803,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1045.0,0.17625,2.375,7.120353933978763,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1050.0,0.18125,1.375,6.522274196460867,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1055.0,0.1687499999999999,1.25,6.650510848715623,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1060.0,0.22,1.375,6.82130588363117,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1065.0,0.27875,1.625,6.884141703845402,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1070.0,0.235,1.25,6.588826897196802,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1075.0,0.22625,2.0,6.616232625568011,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1080.0,0.2525,1.75,6.692054994899702,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1085.0,0.22625,1.125,6.93751011586178,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1090.0,0.265,0.5,6.701518094103108,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1095.0,0.32625,2.0,6.315908242146192,MAPO-PPO,100%,MAPO-PPO/100%
