net,arch,path,avg_wait_time,total_stopped,avg_speed,method,pr,category
5x5,ppo,0.1,15.776715760111577,13.95587168758717,2.3886052654901335,MAPO-PPO,10%,MAPO-PPO/10%
5x5,ppo,0.1,46.112981311018125,18.556094839609486,2.166701729275862,MAPO-PPO,10%,MAPO-PPO/10%
5x5,ppo,0.1,40.23079107391911,16.575899581589958,2.231359124131096,MAPO-PPO,10%,MAPO-PPO/10%
5x5,ppo,0.05,82.44366861924686,30.810822873082287,1.3251509639420849,MAPO-PPO,5%,MAPO-PPO/5%
5x5,ppo,0.05,19.522016178521618,20.046750348675033,1.5670958889100433,MAPO-PPO,5%,MAPO-PPO/5%
5x5,ppo,0.05,37.063523012552295,22.13193863319386,1.4675332100326643,MAPO-PPO,5%,MAPO-PPO/5%
5x5,ppo,0.05,17.36308061366806,17.333891213389123,1.7802438760404364,MAPO-PPO,5%,MAPO-PPO/5%
5x5,ppo,0.05,45.28436094839609,22.190348675034866,1.5811565255102233,MAPO-PPO,5%,MAPO-PPO/5%
5x5,ppo,0.05,20.896967921896792,19.697684797768478,1.7667927167066022,MAPO-PPO,5%,MAPO-PPO/5%
5x5,ppo,0.05,25.581632357043237,19.57082287308229,1.7914336417282726,MAPO-PPO,5%,MAPO-PPO/5%
5x5,ppo,0.05,21.561312133891214,21.7713249651325,1.776357882283103,MAPO-PPO,5%,MAPO-PPO/5%
5x5,ppo,0.05,20.662767085076705,21.21857740585774,1.6714489856321681,MAPO-PPO,5%,MAPO-PPO/5%
5x5,ppo,0.05,19.030452440725245,18.73952580195258,1.6965265448285511,MAPO-PPO,5%,MAPO-PPO/5%
5x5,uniform,uniform,47.3618702462242,20.11258019525802,1.7989820137540706,Fixed time,FO,Fixed time
5x5,uniform,uniform,49.371306507390884,19.152412831241282,1.817815473274616,Fixed time,FO,Fixed time
5x5,uniform,uniform,48.811207374801036,22.604518828451884,1.6471232369144604,Fixed time,FO,Fixed time
5x5,uniform,uniform,45.00649131812125,19.206248256624825,1.7885054291882472,Fixed time,FO,Fixed time
5x5,uniform,uniform,42.1909805934475,18.765801952580194,1.914901024319118,Fixed time,FO,Fixed time
5x5,uniform,uniform,53.392475877909305,20.031297071129707,1.8180483229836797,Fixed time,FO,Fixed time
5x5,uniform,uniform,41.87853665365292,20.26041841004184,1.776671551738104,Fixed time,FO,Fixed time
5x5,uniform,uniform,42.40620511943092,18.912022315202233,1.8681762188449433,Fixed time,FO,Fixed time
5x5,uniform,uniform,41.08912600519513,18.879386331938633,1.8804931824855178,Fixed time,FO,Fixed time
