t,wt,ql,sd,b3c3_sd,b3c3_ql
410.0,24.242424242424242,1.1875,7.138710064533279,12.749277256717434,0
415.0,25.803030303030305,1.0625,6.982106029271632,13.89,0
420.0,25.565217391304348,0.75,7.895195896236492,13.89,0
425.0,25.686567164179106,0.9375,7.784760870060029,13.89,0
430.0,23.794520547945204,1.75,6.58938682487845,13.98741794670611,0
435.0,24.65277777777778,0.9375,7.86827170845732,13.618334696881057,0
440.0,24.92753623188406,0.9375,7.404549974132184,9.177505973093178,0
445.0,24.3943661971831,1.1875,7.089345471568257,8.44709593473517,1
450.0,25.591549295774648,1.0,7.689848170851793,7.7440642226033765,1
455.0,26.857142857142858,1.4375,6.990209209048262,4.5795438935392125,2
460.0,25.58974358974359,1.3125,6.6390296519538134,9.661373626034596,0
465.0,26.08219178082192,1.1875,7.358903864847014,13.89,0
470.0,27.02777777777778,1.25,7.222664558952881,13.05634057416029,0
475.0,26.907894736842106,1.125,7.801462938201792,13.433032642257114,0
480.0,28.0,1.0625,8.286806886177255,12.2709441853765,0
485.0,28.635135135135137,1.3125,6.894170185337555,3.8510384732973058,1
490.0,27.182926829268293,1.125,7.157804024264642,13.224801845086127,0
495.0,28.567901234567902,1.625,6.475133923365064,13.89,0
500.0,29.925,0.875,8.36417237821941,12.378279677343917,0
505.0,29.226190476190474,0.5625,9.444615647924618,12.020012481647527,0
510.0,29.951807228915662,1.125,8.541167568627197,13.625906797732526,0
515.0,28.696202531645568,0.9375,7.7629962637578505,13.89,0
520.0,26.941860465116278,1.0,8.21655355384618,13.89,0
525.0,26.867469879518072,0.9375,8.821651206326832,13.89,0
530.0,26.691358024691358,0.5,9.176681745490624,13.89,0
535.0,25.839506172839506,0.25,9.289341995932986,13.89,0
540.0,26.419753086419753,0.75,8.624504342503473,12.203621104629882,0
545.0,24.227272727272727,1.625,7.3867394691868276,13.18499971027736,0
550.0,24.202380952380953,1.3125,7.728856601281429,13.28747346116247,0
555.0,25.329113924050635,1.6875,6.861324038316381,13.89,0
560.0,24.29113924050633,1.3125,6.596447111603299,12.010404075668351,0
565.0,25.36842105263158,1.0625,7.219308919892254,12.910896431827144,0
570.0,25.73611111111111,0.875,7.310390654440844,12.177290562363499,0
575.0,21.766233766233768,0.6875,7.511384923864028,13.89,0
580.0,22.83116883116883,1.125,8.14417691840019,13.89,0
585.0,23.894736842105264,0.75,8.550637003592435,13.89,0
590.0,23.666666666666668,1.125,7.333288242921246,13.89,0
595.0,25.0,1.5625,6.838763713972918,13.89,0
600.0,25.930555555555557,1.25,6.939918827462094,13.89,0
605.0,24.49367088607595,0.875,8.042436335333273,13.89,0
610.0,25.48051948051948,0.6875,8.569891495692358,13.89,0
615.0,24.518987341772153,0.9375,8.765171362369228,13.89,0
620.0,25.38157894736842,0.9375,8.257622772962895,13.89,0
625.0,23.662337662337663,1.8125,6.342476883978486,13.89,0
630.0,23.85,1.75,6.613094859992918,13.5837698397618,0
635.0,24.857142857142858,1.4375,6.47319338392408,12.95331081711177,0
640.0,26.232876712328768,1.875,5.728107414834,12.705579298207475,0
645.0,26.649350649350648,1.375,6.929319482157978,13.89,0
650.0,26.7875,1.625,6.63431338675652,13.26752685000821,0
655.0,26.988095238095237,1.5,7.3038094396811335,14.367649612444723,0
660.0,28.1,1.1875,7.006767771023396,9.071599845397971,0
665.0,28.67948717948718,1.5,6.596492265080567,6.945708967640463,1
670.0,28.530864197530864,1.5625,7.07428961911111,13.606688117897455,0
675.0,28.55952380952381,1.625,7.362198544727551,13.241954852592052,0
680.0,28.930232558139537,2.0,6.59479865310812,11.67446633807805,0
685.0,30.265060240963855,2.125,4.992028911850859,6.947578225458724,1
690.0,31.817073170731707,1.625,5.566374727334695,13.663497751063183,0
695.0,31.790697674418606,1.625,6.12719188426439,14.030037594443634,0
700.0,31.719101123595507,1.8125,6.469853102533729,8.915666625248884,0
705.0,33.37931034482759,1.6875,6.832226691841637,6.950808033018047,1
710.0,33.28888888888889,1.625,7.405581042715375,13.091641195846329,0
715.0,34.28735632183908,1.75,7.014335061153089,8.605915034954412,0
720.0,32.674418604651166,1.6875,6.3377503027965,12.70213663645338,2
725.0,32.644444444444446,1.5625,7.109087016672379,13.31804433400371,2
730.0,33.89772727272727,1.4375,7.674563068266392,12.312311502104642,2
735.0,33.67391304347826,1.6875,7.851112202561041,3.47262553178524,3
740.0,34.98913043478261,1.4375,7.539035763472059,13.89,2
745.0,31.680851063829788,2.25,5.79727139058795,13.89,2
750.0,32.91304347826087,1.8125,6.660368235366491,13.89,2
755.0,34.34090909090909,2.4375,6.104862988963661,13.89,2
760.0,35.08791208791209,1.9375,5.40312309088224,13.52525134499709,2
765.0,36.43956043956044,1.3125,6.877188521075519,13.033176900689446,2
770.0,36.03157894736842,1.5,7.431747363023225,12.558928811289649,2
775.0,35.86734693877551,1.625,8.06681800759696,13.625451272596816,2
780.0,37.13265306122449,1.25,7.32943499566032,9.416268415843266,2
785.0,36.494949494949495,1.5,8.181677258536718,0.046628570330870055,3
