step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,49228579_stopped,49228579_accumulated_waiting_time,49228579_average_speed,cluster_2511020102_2511020103_290051922_298135886_stopped,cluster_2511020102_2511020103_290051922_298135886_accumulated_waiting_time,cluster_2511020102_2511020103_290051922_298135886_average_speed,cluster_2511020106_49297289_stopped,cluster_2511020106_49297289_accumulated_waiting_time,cluster_2511020106_49297289_average_speed,cluster_290051904_49145925_stopped,cluster_290051904_49145925_accumulated_waiting_time,cluster_290051904_49145925_average_speed,cluster_290051912_298136030_648538909_stopped,cluster_290051912_298136030_648538909_accumulated_waiting_time,cluster_290051912_298136030_648538909_average_speed,cluster_298135838_49135231_stopped,cluster_298135838_49135231_accumulated_waiting_time,cluster_298135838_49135231_average_speed,cluster_648538736_648538737_stopped,cluster_648538736_648538737_accumulated_waiting_time,cluster_648538736_648538737_average_speed,cluster_648538756_648538758_stopped,cluster_648538756_648538758_accumulated_waiting_time,cluster_648538756_648538758_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
300.0,-0.5550000000000002,109,36.72,4.59,4.679613813076805,3,109.0,0.10476169097096419,21,583.0,0.05343626343226609,21,840.0,0.07459481468879453,11,112.0,0.03668824099584666,4,57.0,0.06329275739250365,40,1529.0,1.671506528568706e-06,9,442.0,0.08239970427749428,0,0.0,1.0,109,3672.0
305.0,-0.34625,109,39.49,4.936249999999999,4.645838408357645,1,89.0,0.2773771428338446,27,700.0,0.029362341204842355,15,665.0,0.14764115134074116,12,168.0,0.03156968904630102,4,77.0,0.01862906173130099,40,1729.0,0.008045267987387191,10,521.0,0.16376010321561457,0,0.0,1.0,109,3949.0
310.0,-0.28874999999999995,110,41.8,5.225,4.43600535535292,2,33.0,0.21805059625313863,30,844.0,0.01778970266673373,11,516.0,0.17198629494100381,13,228.0,0.004821934638019924,4,97.0,3.660138261393131e-06,40,1929.0,0.0,10,533.0,0.11322878611141836,0,0.0,1.0,110,4180.0
315.0,-0.37375000000000014,109,44.79,5.598750000000001,4.603962109151265,2,43.0,0.18141369321185732,31,997.0,0.026125145921334234,12,466.0,0.21540658656929532,11,192.0,0.048376609483281444,3,101.0,0.01513887178365373,40,2129.0,0.0,10,551.0,0.08515612677387899,0,0.0,1.0,109,4479.0
320.0,-0.3362499999999998,103,47.48,5.935,4.85476837919865,2,45.0,0.0482723095208445,31,1154.0,0.014023303971441872,12,401.0,0.2530212364698795,3,166.0,0.049939235010542864,4,117.0,0.21184101638515732,40,2329.0,0.0,11,536.0,0.06036859176989066,0,0.0,1.0,103,4748.0
325.0,-0.4912500000000002,105,51.41,6.4262500000000005,5.096096679545817,2,51.0,0.15983858388237823,34,1319.0,0.012075344705275456,12,461.0,0.18718316768171459,3,129.0,0.09795734731163727,4,137.0,0.041905981680158064,40,2529.0,0.0,10,515.0,0.11022965658675171,0,0.0,0.8685030843023482,105,5141.0
330.0,0.49124999999999974,78,47.48,5.9350000000000005,5.554307642534843,2,59.0,0.27221368848660465,12,1108.0,0.044354780945123955,13,529.0,0.2477488013458168,3,100.0,0.08035818878235486,4,154.0,0.10769181799599532,34,2246.0,0.0,10,548.0,0.12019027945016139,0,4.0,0.7955857815187116,78,4748.0
335.0,0.7337500000000001,51,41.61000000000001,5.20125,6.212632750169454,2,69.0,0.15463435700390193,5,689.0,0.06462685593078094,13,591.0,0.21136799582842136,1,36.0,0.12806087888852,4,174.0,0.037652551980946955,15,2025.0,0.02541643987495601,11,573.0,0.12098996761471745,0,4.0,0.5478096102110332,51,4161.0
340.0,0.4412500000000001,43,38.08,4.76,6.951487715340091,2,79.0,0.1648906254428831,3,527.0,0.12020965239583381,13,649.0,0.14585049234506797,1,19.0,0.14070128956827582,4,206.0,0.23569047539052385,6,1688.0,0.08838225792550472,14,636.0,0.09422276225586006,0,4.0,0.48262367177747906,43,3808.0
345.0,0.25249999999999984,42,36.06,4.5075,7.751005964111222,3,92.0,0.18893948062055674,3,412.0,0.11009606968298151,14,719.0,0.09200667851775741,1,21.0,0.1401841134675794,4,222.0,0.3291315586368329,1,1427.0,0.11769256126005838,15,707.0,0.09644483578213807,1,6.0,0.23861667304598103,42,3606.0
350.0,0.49250000000000016,47,32.12,4.015000000000001,8.316494838635979,4,109.0,0.06384537191697306,4,341.0,0.12362771160199253,15,793.0,0.07722502478853589,3,34.0,0.15026387205740396,4,238.0,0.2922333887197681,1,1026.0,0.15327118815718732,14,660.0,0.03238434192131298,2,11.0,0.0409278491248048,47,3212.0
355.0,0.8999999999999998,38,24.919999999999998,3.115,8.80940412810401,6,134.0,0.1136908589112047,4,208.0,0.12418633982257862,8,503.0,0.09541900452136486,3,53.0,0.27739540986200845,1,77.0,0.2601521105690206,2,890.0,0.18655337095346194,11,607.0,0.06304968869774241,3,20.0,0.0007876400395639749,38,2492.0
