Wall time,Step,Value
1700796004.8640606,6461184,-1019.861328125
1700796120.8010654,6473216,-1019.861328125
1700796282.2720926,6485248,-1019.861328125
1700796532.7705564,6497280,-1024.8902587890625
1700796642.0644412,6509312,-1024.8902587890625
1700796757.1299102,6521344,-1024.8902587890625
1700796862.5582888,6533376,-1024.8902587890625
1700796981.1210384,6545408,-1006.8505249023438
1700797292.0214674,6569472,-1006.8505249023438
1700797663.018979,6605568,-1034.817138671875
1700797878.7952616,6617600,-1059.0911865234375
1700797971.6632557,6629632,-1059.0911865234375
1700798194.127317,6653696,-1058.9266357421875
1700798835.8021853,6701824,-1055.92529296875
1700799074.336631,6725888,-981.7147216796875
1700799420.4192154,6749952,-933.7387084960938
1700799549.6788893,6761984,-933.7387084960938
1700800133.6094398,6798080,-985.019775390625
1700800265.980361,6810112,-985.019775390625
1700800370.4251943,6822144,-951.3320922851562
1700800609.2483573,6846208,-951.484375
1700801092.580404,6870272,-1042.4302978515625
1700801348.0905316,6894336,-1071.1180419921875
1700801582.174067,6918400,-990.2655029296875
1700801689.4508564,6930432,-990.2655029296875
1700802038.9098675,6966528,-990.1002197265625
1700802489.7677388,6990592,-1034.07666015625
1700802656.3106048,7002624,-1034.07666015625
1700802813.7850919,7014656,-1101.740234375
1700802984.1011508,7026688,-1210.423095703125
1700803331.9485474,7038720,-1210.423095703125
1700803435.2878208,7050752,-1229.0584716796875
1700803736.443521,7074816,-1263.833984375
1700803873.0220318,7086848,-1263.833984375
1700804475.9867606,7147008,-1291.712158203125
1700804810.990807,7159040,-1291.712158203125
1700805091.3452017,7183104,-1330.1356201171875
1700805193.3520944,7195136,-1330.1356201171875
1700805336.4709473,7207168,-1330.1356201171875
1700805825.1174362,7243264,-1267.097412109375
1700806060.7042003,7267328,-1235.7845458984375
1700806299.4911058,7291392,-1235.7845458984375
1700806532.6890156,7315456,-1214.274169921875
1700806957.0194943,7339520,-1233.2998046875
1700807189.5788264,7363584,-1204.583984375
1700807332.4153814,7375616,-1204.583984375
1700807482.6074128,7387648,-1224.6431884765625
1700807832.4464717,7423744,-1194.51025390625
1700808402.9852552,7471872,-1038.115966796875
1700808537.0599236,7483904,-1038.115966796875
1700808751.8127038,7507968,-926.2963256835938
1700808999.5167024,7520000,-931.8331298828125
1700809220.1904583,7544064,-931.8331298828125
1700809716.476562,7592192,-932.0067138671875
1700809903.9703078,7604224,-932.0067138671875
1700810238.50395,7628288,-1018.42724609375
1700810709.4866703,7652352,-1102.0552978515625
1700811679.9886854,7736576,-1130.604248046875
1700811787.3159704,7748608,-1130.604248046875
1700812192.1887174,7772672,-1102.6375732421875
1700812348.3974788,7784704,-1124.24755859375
1700812548.3652315,7796736,-1124.24755859375
1700812683.6800432,7808768,-1230.0208740234375
1700812807.4134336,7820800,-1230.0208740234375
1700812968.8368797,7832832,-1230.0208740234375
1700813289.5627606,7856896,-1344.0736083984375
1700813435.7598126,7868928,-1239.3746337890625
1700814165.0545638,7917056,-1272.1617431640625
