step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,gneJ0_stopped,gneJ0_accumulated_waiting_time,gneJ0_average_speed,gneJ6_stopped,gneJ6_accumulated_waiting_time,gneJ6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
100.0,0.30499999999999994,4,1.79,0.895,6.889295774405397,0,25.0,0.48163171740424227,4,154.0,0.27499943702595486,4,179.0
105.0,0.34,3,1.1099999999999999,0.5549999999999999,7.805878695163037,2,12.0,0.49533864389150634,1,99.0,0.231770451030255,3,111.0
110.0,0.20499999999999996,5,0.7000000000000001,0.35000000000000003,7.215342019747686,2,16.0,0.5407413940122228,3,54.0,0.43032750938951125,5,70.0
115.0,0.005000000000000018,6,0.69,0.345,6.957656430706986,3,28.0,0.40778139631070975,3,41.0,0.4259064580016835,6,69.0
120.0,-0.18500000000000003,10,1.06,0.53,6.5610006920643915,6,50.0,0.2034355962517121,4,56.0,0.5951754183995336,10,106.0
125.0,-0.305,13,1.67,0.835,5.093706734646373,9,91.0,0.21712706767301512,4,76.0,0.2689437845989018,13,167.0
130.0,-0.35999999999999993,16,2.3899999999999997,1.1949999999999998,4.387862779041874,11,141.0,0.09973808411058067,5,98.0,0.0005293984927227424,16,239.0
135.0,-0.43499999999999994,19,3.26,1.63,3.673751721202935,14,203.0,0.08033192525917969,5,123.0,0.27055588524217467,19,326.0
140.0,-0.5250000000000001,22,4.3100000000000005,2.1550000000000002,2.497178446721316,17,283.0,0.13911987111106275,5,148.0,0.011401425846102393,22,431.0
145.0,1.44,4,1.43,0.715,4.563678313196926,4,141.0,0.1886057630530389,0,2.0,0.25330272111318924,4,143.0
150.0,0.27499999999999997,2,0.88,0.44,7.897904035666541,2,88.0,0.1315890532451776,0,0.0,0.9870848571009915,2,88.0
155.0,0.09000000000000002,2,0.7,0.35,9.130658636071667,2,69.0,0.2804863130744726,0,1.0,0.954639132682571,2,70.0
160.0,0.15999999999999998,2,0.38,0.19,10.289992489745979,2,35.0,0.3084446905730525,0,3.0,0.7650719821356166,2,38.0
165.0,-0.030000000000000013,4,0.44,0.22,9.284570754523152,3,38.0,0.2420399186492322,1,6.0,0.5846957730404039,4,44.0
170.0,-0.10000000000000002,6,0.64,0.32,6.3933107972116145,4,54.0,0.18458745055393921,2,10.0,0.005948956571046681,6,64.0
175.0,-0.175,7,0.99,0.495,6.46470656513242,4,74.0,0.2367817537988739,3,25.0,0.0,7,99.0
180.0,-0.195,8,1.38,0.69,5.332306059242496,5,98.0,0.1605525426704292,3,40.0,0.22910039327934573,8,138.0
185.0,-0.2,8,1.78,0.89,5.606388652264068,5,123.0,0.35673028715271726,3,55.0,0.13904586460983215,8,178.0
190.0,0.54,2,0.7,0.35,5.141070299011017,1,49.0,0.20440978068204102,1,21.0,0.3519940022926204,2,70.0
195.0,0.29,4,0.12000000000000001,0.060000000000000005,8.0228509054166,2,5.0,0.3046392017975608,2,7.0,0.3197568620299981,4,12.0
200.0,-0.105,3,0.32999999999999996,0.16499999999999998,9.665335495580317,2,18.0,0.570658363474991,1,15.0,0.316659370316557,3,33.0
205.0,-0.08000000000000002,3,0.49,0.245,8.99399311412048,1,22.0,0.5241016086875422,2,27.0,0.4093209577027322,3,49.0
210.0,-0.09999999999999999,8,0.69,0.345,5.816996011800704,4,32.0,0.22345719410384587,4,37.0,0.17325972765357736,8,69.0
215.0,-0.255,11,1.2,0.6,4.448789405968488,6,58.0,0.12150752212683229,5,62.0,0.16673074537107294,11,120.0
220.0,-0.31500000000000006,13,1.83,0.915,3.1709868075114347,7,93.0,0.0010325719975955063,6,90.0,4.060228440787009e-05,13,183.0
225.0,-0.35,14,2.5300000000000002,1.2650000000000001,4.055997392106372,8,133.0,0.19015710318906448,6,120.0,0.13303503520561075,14,253.0
