step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,C4_stopped,C4_accumulated_waiting_time,C4_average_speed,C5_stopped,C5_accumulated_waiting_time,C5_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,D4_stopped,D4_accumulated_waiting_time,D4_average_speed,D5_stopped,D5_accumulated_waiting_time,D5_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,E2_stopped,E2_accumulated_waiting_time,E2_average_speed,E3_stopped,E3_accumulated_waiting_time,E3_average_speed,E4_stopped,E4_accumulated_waiting_time,E4_average_speed,E5_stopped,E5_accumulated_waiting_time,E5_average_speed,F1_stopped,F1_accumulated_waiting_time,F1_average_speed,F2_stopped,F2_accumulated_waiting_time,F2_average_speed,F3_stopped,F3_accumulated_waiting_time,F3_average_speed,F4_stopped,F4_accumulated_waiting_time,F4_average_speed,F5_stopped,F5_accumulated_waiting_time,F5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,-0.0431999999999999,23,3.08,0.1232,5.921517527120984,0,0.0,1.0,1,11.0,0.0,2,16.0,0.2807990231795063,3,42.0,0.2328756298444522,1,2.0,0.4202835282074109,0,1.0,0.894159616998325,0,0.0,0.840868688390545,0,0.0,0.9137393246692797,3,39.0,0.2391329441425759,2,32.0,0.5563187153173836,0,0.0,1.0,0,0.0,0.886464142443472,0,1.0,0.8600315187702523,3,61.0,0.0,3,44.0,0.5281833778608869,0,0.0,1.0,0,0.0,1.0,1,22.0,0.0,0,0.0,1.0,2,22.0,5.249794586456715e-06,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,15.0,0.0,23,308.0
110.0,-0.046,23,4.23,0.1692,5.85735132389167,0,0.0,0.3926203870033883,1,16.0,0.1405572365874386,2,26.0,0.3090107154883334,3,57.0,0.2508923778146023,1,7.0,0.3675394686455931,0,1.0,0.9803087357334346,0,0.0,0.9403579443221493,0,0.0,0.9292957844184596,3,54.0,0.2314275711060222,2,42.0,0.543023905528447,0,0.0,1.0,0,0.0,0.9936990922262784,0,1.0,0.9629738417093454,3,76.0,0.0,3,59.0,0.5052693121264258,0,0.0,1.0,0,0.0,1.0,1,27.0,0.0,0,0.0,1.0,2,32.0,0.3053019150735088,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,25.0,0.1283902120980747,23,423.0
115.0,-0.0375999999999999,22,5.17,0.2067999999999999,5.2054805038708505,0,0.0,0.8658879454922265,0,0.0,0.9986204449798312,2,36.0,0.2554615917149545,3,72.0,0.3642346681654252,1,12.0,0.5530694357987617,0,1.0,0.5087813244375373,0,0.0,0.6345926171818567,0,0.0,0.4402365374782317,3,69.0,0.2329920473822198,2,52.0,0.4167332335381992,0,0.0,1.0,0,0.0,0.0267613459870251,0,1.0,0.892472238453761,3,91.0,0.0,3,74.0,0.4353142712528487,0,0.0,1.0,0,0.0,1.0,1,32.0,0.0,0,0.0,1.0,2,42.0,0.4451759891233496,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,35.0,0.0087254560351608,22,517.0
120.0,0.0791999999999999,12,3.1900000000000004,0.1276,6.081875330281187,0,0.0,0.9984409853627326,0,2.0,0.8630080861171452,1,6.0,0.4920989210797984,1,31.0,0.5881131920579682,0,2.0,0.7160069102645658,1,5.0,0.0495316977320406,1,3.0,0.4862719917205976,1,3.0,0.0,1,54.0,0.2882478094384082,2,29.0,0.3537742190138558,0,0.0,1.0,1,4.0,0.0,1,7.0,0.5984147086531544,0,68.0,0.4276741911711426,2,61.0,0.3550922041027106,0,0.0,1.0,0,2.0,0.7839788329129864,0,0.0,1.0,0,0.0,1.0,0,20.0,0.6354434592399374,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,22.0,0.2308301893383737,12,319.0
125.0,0.0512,18,1.91,0.0764,7.760504754925877,0,0.0,0.975263653924711,0,2.0,0.8971106857681278,1,13.0,0.651363672438741,0,4.0,0.9074986589615656,0,0.0,0.8616935218546431,2,14.0,0.0,1,8.0,0.4098563290650941,1,8.0,0.0,3,68.0,0.4537657651936072,3,18.0,0.0115880830485829,0,0.0,1.0,1,9.0,0.0,2,14.0,0.5472507370607366,0,4.0,0.9091185770671464,4,25.0,0.4010452184335327,0,0.0,1.0,0,2.0,0.8229722319912903,0,0.0,1.0,0,0.0,0.8268306287582063,0,2.0,0.9181901154316569,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9164090493606094,0,0.0,1.0,18,191.0
130.0,-0.0375999999999999,19,2.8500000000000005,0.114,7.499543909828514,0,0.0,0.8472622663102881,0,2.0,0.9283955690875876,1,18.0,0.6659557438523233,0,4.0,0.7076864597631581,0,0.0,0.6108686762706428,2,24.0,0.0,1,13.0,0.4714712940164016,1,13.0,0.0,3,83.0,0.4942482333594364,4,37.0,0.188393383491679,0,0.0,1.0,1,14.0,0.0,2,24.0,0.5263535436564739,0,4.0,0.7836526274079366,4,45.0,0.2502946890896836,0,0.0,1.0,0,2.0,0.9242647138204456,0,0.0,1.0,0,0.0,0.918863845244297,0,2.0,0.9198390221248806,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9243306227684204,0,0.0,0.7168959311894454,19,285.0
135.0,-0.044,24,3.9499999999999993,0.158,6.871502347308375,0,0.0,0.2434250512007804,0,2.0,0.6304717639503402,1,23.0,0.6200543781167125,1,8.0,0.6665210819172188,2,5.0,0.0001679666586485,2,34.0,0.0,1,18.0,0.4861296758367427,1,18.0,0.0,3,98.0,0.4402197179830696,4,57.0,0.1969142935753022,0,0.0,1.0,1,19.0,0.0,2,34.0,0.5733475133474567,0,4.0,0.9419644396769896,5,70.0,0.2652850143581889,0,0.0,1.0,0,2.0,0.9509046448501568,0,0.0,1.0,0,0.0,0.8608380594819209,1,3.0,0.5980310484492033,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.934260751617447,0,0.0,0.9547379996832328,24,395.0
140.0,-0.0511999999999999,26,5.23,0.2091999999999999,6.1569176252996565,1,4.0,0.0003955364823288,1,6.0,0.6145898045658583,1,28.0,0.6629818526822123,1,13.0,0.7305649884328199,2,15.0,0.0,2,44.0,0.0,1,23.0,0.4956784651625728,1,23.0,0.0,3,113.0,0.2853627843036856,4,77.0,0.1754495657649069,0,0.0,1.0,1,24.0,0.0,2,44.0,0.5169040431252518,0,4.0,0.7832777097686361,5,95.0,0.1777700570102982,0,0.0,1.0,0,2.0,0.891470465424189,0,0.0,1.0,0,0.0,0.7415128468270888,1,8.0,0.6080746974879144,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9492674600881764,0,0.0,0.8923278511667415,26,523.0
145.0,-0.0284,38,5.94,0.2375999999999999,3.899997733062096,2,9.0,0.0,2,11.0,0.0135196350537865,2,33.0,0.5003757132812209,3,19.0,0.4996052454116165,3,12.0,0.0,2,54.0,0.0,1,28.0,0.0,1,28.0,0.0,2,76.0,0.0932893472203715,5,97.0,0.2781691448108114,0,0.0,1.0,1,29.0,0.2252279816732331,3,55.0,0.1704287370885319,0,4.0,0.8883562382373752,7,123.0,0.1173948905587987,0,0.0,1.0,1,3.0,0.0017363114422219,0,0.0,1.0,0,0.0,0.7876615718659838,2,13.0,0.2658797718302726,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.890571249919728,1,0.0,0.0344584428594459,38,594.0
150.0,-0.0676,39,7.630000000000001,0.3051999999999999,3.3211004388946987,1,14.0,0.4562064673740631,3,23.0,0.2203936297486546,1,38.0,0.3771518793400381,2,29.0,0.3049991374840749,1,17.0,0.5903900124579019,2,64.0,0.0,1,33.0,0.0,1,33.0,0.0,5,93.0,0.0019919832674885,4,117.0,0.3733117854241365,0,0.0,1.0,1,34.0,0.4906720816899351,4,74.0,0.0016612130414236,1,5.0,0.3518913127268659,6,153.0,0.2357445555482972,0,0.0,1.0,1,8.0,0.0,0,0.0,1.0,0,0.0,0.6580994519952466,3,24.0,0.0122674215805204,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0501514454602728,1,3.0,0.0072658358606856,39,763.0
